a = { a név  egalizál kiemel mutat személyazonosság tárgyal dologbeli amelyik szab va } 
acclamál = {  helyeslés kiáltás fogadalom üdvözlet } 
acclimatisatio = {  honosít hozzászoktat } 
acclimatisál = {    egalizál helyecske meghonosodik egalizál mácsik éghajlat helyre származik élőlény hozzászoktat az úgy környezet életfeltétel időjárás viszony kávé afrikánsz dél-amerika akklimatizál a spanyolberek hódító } 
acclimatizál = {    egalizál helyecske meghonosodik egalizál mácsik éghajlat helyre származik élőlény hozzászoktat az úgy környezet életfeltétel időjárás viszony kávé afrikánsz dél-amerika akklimatizál a spanyolberek hódító } 
accludál = {  } 
acclusum = {  } 
accommodatio = {  alkalmazkodik } 
accommodál = {  hozzá hozzáigazít } 
accomodatio = {  alkalmazkodik } 
accomodál = {  } 
accompagnement = {  kísérel } 
accompagniroz = {  } 
accord = { akkor főnév icd    zendít együtt hangzás többedmagával legalábbis háromdimenziós különbözet magasság hang összecsenget zeneszerzés úgy művész sokszori használ akkord } 
accordiroz = {  } 
accordál = {  megegyez szerződtet } 
accoucheur = {  kiejt akaszkodik } 
accra = {  } 
accreditiv = {  megbíz levédia hitel } 
accreditiva = {  hitel vag felhatalmaz levédia } 
accreditivum = {  } 
accreditál = {    felhatalmaz egalizál megbízólevél egalizál nagykövet hogyan képvisel ő egalizál idegenedik állag kormányzat szomszéd állag egalizál úgy nagykövet akkreditált az országbeli } 
accreditált = {  hitelesség bejegyzés elismert } 
accumulator = { akkumuláció főnév  energia kémia energiátlan elektromosság oda átalakít eszközhatározó ami képed elektromos energiátlan tárol é lead é villamosmotor árad hatás képed újrahasznosít beindít az elektromosság tárol vegy folyamat kel töltelék az akkumulátor } 
accumulál = {  nagyacsád mennyiség gyűjtemény félre később felhasználás vag megőrzés halmoz gazda emberalak aranyalma akkumuláció magán } 
accurat = {    gondos pontos } 
accurate = {    gondos pontos } 
accuratesse = {  pontos rendszerető } 
accuratus = { akkurátusan melléknév    a részletes körülményesség figyel gondos személyazonosság ak a rendruha kínos ügye-vesztett } 
accusatio = {  vádol } 
accusativus = {  tárgy } 
accusator = {  vádli } 
accusatorius = {  vádolás val } 
acephal = {  fejetlenség } 
acervulus = {    agyhomok acervulus a tobozmirigy talál } 
acetabulum = {    íz az ízület február kiugraszt az acetabulum } 
acetilkolin = {    ingerület anyag acetilkolin az ideg közötte ingerület továbbít kémia anyag } 
acetilkolinészteráz = {    kolinda mely az acetilkolin hidrolizis acetát illet kolinda } 
acetilén = {  kémia szag gáz amely nebich mérgez é színtelenedik telít szénhidrogének világítás használ acetilén karbantartás é vídia egyesülés keletkeztet } 
acetilénlámpa = {  acetilén működik lámpa világított } 
aceto = {  } 
aceton = {  gyúl oldószer aceton old a köröm } 
acetát = {  az eset só } 
ach cd = { ach cd kifejezés nocsak } 
acharnement = {  kiejt as } 
achilles = {  } 
achilles-sarok = {  egyetlenegy sebezhetetlen rész valamíg mina achilles a sark } 
achilles í = {    a felületes közöl lábszár izmos in tendencia calcinatio achilles-sarok elnevez a görögdinnye mitológia ered } 
achromaticus = {    fénysugár színehagyott nebich bont lencseleves priznic amely fénytörés sor nebich hobbi létra szivárvány képed fényképészet akromegália objektíve használ a fényképezőgép } 
achromatopsia = {    teljesedik színvilág achromatopsia gyakrabb visszaver egyébaránt idegrendszer megbetegedett } 
acháj = { acháj főnév  történelembúvár a görögös sajátkezű nevel az ókor nyelv acháj egyiptom icd kereskedelem } 
achát = {  színehagyott kvarc } 
acicét = {  } 
acid = { l'hombre liza főnév  drogozik az érzékszerv é a tudatos tompít készít amely rövidecske kellemesen érzés maja tartós károsodik okoz } 
aciditás = {    savtalanít savas citrom aciditás maga } 
acidum = {  sabbath } 
acidózis = {    savanna kórokozó mennyiség a test savtalanít savmaradék } 
acne = {    pattan mitesszer acne megjelenés pubertás gyakor } 
aconitum = {    farkasgyepű sisak 2 a belől készül erős méreganyag aconitum a halottas aconitum végzet } 
acqua tintafolt = {  tintafolt tus hasonlat rézrozsda val marat útja készül képlet } 
acqua toalett = {  toalett nevel asszonancia általa feltalál méreg } 
acquirál = {    szerecsen gyűjt szervezett a mabella naponként az úgy üzlet kégli tagol akvirál } 
acquisiteur = {    mozgalmas ügynökség üzlet } 
acquisitio = {    birtok vétek magáért tételes megszerzés háborgat akvizíció a teljesedik vétel kifizet befejeződik } 
acquisitor = {    vagyon gyűjt  } 
acquisitus = {    szerzett acquisitus immunitás születés utál tesz szerafim } 
acquit = {  kiejt ak } 
acre = {  kiejt ék } 
acromion = {    váll acromion a lapos egyidejű csontosodik nyúlvány } 
acropolis = { akropolis akropolis főnév    felleg } 
acroposthitis = {    fityma beteg acroposthitis volant } 
acs = { -cs -acs főnévképző icd  az említ feladat jellemző személyazonosság dolog } 
acsa = {  községbeli peshed megyés  00 lakosság 20 -es adatol a cserháthaláp hegyszentmárton lábápolás a galgaguta völgy kanyarulat helyez el } 
acsalag = {  községbeli győr megyés 500 lakosság 20 -es adatol a hancsik dél részére csorna   ko északnyugat fek } 
acsalapu = {  } 
acsarkodik = { acsarkodik ig    fogás vicsorgat uganda kutyabaj megköt vag kerít mög zárvatermők tehetetlenség düh ugat kerít mögötte a kutyabaj mindeddig arrafelé jár idegen acsarkodik } 
acsarkodás = { acsarkodás főnév  alattomban fondorkodik áskálódik irigykedik amiként egalizál személyazonosság rejtett mácsik vag másod cél ellebben tevékeny amiként másod másod rosszindulatú bevádolt rosseb hír terjeszt barátságos másod acsarkodás akác tönkrejutás icd tehet } 
acsarog = { acsarkodik ig    fogás vicsorgat ugat kutyabaj megköt vag kerít mög zárvatermők tehetetlenség düh ugat kerít mögötte a kutyabaj mindeddig arrafelé jár idegen acsarkodik } 
acska = { -cska -cske -acska -ecske -ocska -csi -ci -csó főnévképző  az említ dolog a szokásos kisebb-nagyobb } 
acsád = {  } 
act = { ak főnév    művészies ábrázol meztelenedik ember test rendszer nő alabárd } 
acta = { akt főnév    irat amely egalizál ügy tárgy személyrag vonatkozik össze iratos adatol tartalmaz akt soave fontol irat va } 
acta ad = {  } 
acta es fabak = {  vége a komédia } 
actia = {  részvényes } 
actinodermatitis = {    sugárzik okoz bőrgyár sugár helytelenkedik tárolás actinodermatitis okoz } 
actinomycosis = {    sugár actinomycosis legio háziállat veszélyeztet gombásodik megbetegedett } 
actio = { akcia főnév  céltalan cselekvés egalizál feladat elvégzés vívó akció gyorsabbodik találat ért el } 
actio radialis = {  az az úgy mely egalizál jármű léghajós repülő tenger megtejesedik anémia hogyan a hajtóerő föl kellem frissít } 
actioradius = {  hatóság } 
activ = { aktíva melléknév    kezdeményez hozzáállás másrészről nebich vár személyazonosság ak  késedelmes nélkül tevékeny meglágyul kezel dolgos é kezel icd azon illet ilyen-amolyan személyrag jellemző munkabér tevékenység gyorsabbodik együtt jár az aktíva munkál } 
activa = {    pénzügyi teljesedik vagyon könyvelés pénzügyi kimutatás szerep meglevelesedik pénzbehajtás értékel vagyon ingatlanhirdetés felszerelés áru készpénzes é a fennáll pénzbehajtás követelés összesség vállalkozik akkor lehel nyereség ha az aktíva meghalad a költséges } 
activitás = { aktivista főnév    tett amiként egalizál személyazonosság élettelen é képed soave tevékenység rövidecske id alatta megvalósít gyerekes jellemző a nagyacsád aktivista } 
activák = {  } 
activál = { aktivista ig  aktív vag tevékeny tesz cselekvés állapot hobbi mozgás hobbi megint beindít tudniillik mi aktivista ez a piros gomb } 
actióképes = {  cselekvés harcrend seregenként } 
actióképesség = {  cselekvés } 
actor = {    színész akt elsajátít előadás látta a színház } 
actoratus = {    felperes jog } 
actrix = {  színész } 
actualis = { aktualitás melléknév    a jelen időhatározó kapcsolódik személyazonosság tárgy eseménydús jelenség dolog ami éppennyi mos va vag éppennyi mos va szab ról éppennyi mos jelenlét meglevelesedik vag kezel árcédula mindinkább az aktualitás áb olvashatatlan } 
actualitas = {    a jelen kötődik a jelen viszony szorong kapcsolat leva állapot ténfereg vag körülmény régi kutatás eredményes gyorsabbodik elveszt aktualitás az új-zéland kísérlet eredményes miatt } 
actuarius = {  törvényszék írnokoskodik gyorsírás } 
actus = { aktualitás főnév  terv lépéstávolság egalizál cél irány eredményes tett cselekedet amely jog következmény van esküvés fontol rész az anya aláírás aktus } 
actus majoritas potentia = { actus majoritas potentia kifejezés  erőszakol hatalmaskodik másnap vagyonállapot vag személy történelem megsértés } 
acuitas = {    orvos éles példálózik látás kép acuitas füge a fény } 
acut = { akupunktúra melléknév    orvos hirtelenkedik fellép tünedezik fájdalomcsillapító amely rendszer gyorsabbodik lefolyat betegség jár – szembe azzá ami soká tart vag folyamatos történelem } 
acél = { acél főnév  erős vasöntöde soave vasad tartalmaz keménfa szívó fém ami vágó szerszámos gépel anyag használ } 
acélcső = {  acél készül cső készül az autóbusz váz } 
acéldarab = { acéldarab főnév  erős vasöntöde készül tárgy illet ilyen-amolyan tárgynéző egalizál rész  egalizál ilyen-amolyan tárgy soave vasad tartalmaz keménfa szívó fém ami vágó szerszámos gépel anyag használ géberjén alkatrész leparkol egalizál acéldarab } 
acélfal = {    acéllemez készül fal } 
acélfürdő = {  összeolvaszt alapanyag tartalmaz tartályhajó edény acélfürdő kerül a hulladékos vasad } 
acélhengermű = {  üzekedik mely az acéltömb hengerel különféleképp félkéz áru készül acélhengermű megvizsgál az acél minőség } 
acélhuzal = {  acél készül huzal acélhuzal tart az erza hidal } 
acélideg = {  erős ideg férfias acélideg tűr a megaláz } 
acélipar = {  acél gyárt folyamat eh tartozik üzekedik gyár az  80-as évenkénti fejletlen volant az acélipar } 
acélizom = {  erős fejletlen izom súly acélizom megfeszül a terhelés amiként a súly megemelt é a fej föl tartogat } 
acélizomzat = {  erős izom úszik acélizomzat rendelkezhető } 
acélkohó = {  koherens mely acél gyárt acélkohó többedmagával ezelől fokonként } 
acélkék = { acélkék melléknév  sötétedik ibolyántúli a csiszol edz acél sötétkamra színére hasonló kovácsol kar acélkék lap az edz kéked színehagyott látszat } 
acéllemez = {  acél készül lemegy } 
acélmarok = {  erős kéz vadászat acélmarok megtart a szabadul akar állatorvos } 
acélmetszet = {  nyomda véset negatívum raj lenyom } 
acélmű = {  acél gyárt üzem acélmű folyamatos dolgoz a kohász } 
acélműves = {  régi ipar ak acél különféleképp eszközöl készít különös finom megmunkál dísztárgy ruha acélműves család címer icd rávesz a csat } 
acélnemesítő = {  az acél különbözet tulajdonság javítás kapcsolat acélnemesítő rugalmas acél gyártás kísérletez } 
acélos = { acélos melléknév  nagyobb keménfa edz eszközhatározó szerszámfa fegyvercsattogás amely a szokásos sokk keményedik szívós é erősen katonás acélos kard könnyebb vágtat áb a vékonyan fáklya } 
acélosodik = {  } 
acéloz = { acéloz ig    keménfa é rugalmasság edz láger vasad hevít é hirtelenkedik lehűt kovácsbolha hevít acéloz a vasad } 
acélparipa = {  a mozdonyvezető régi elnevez húz a vasút kocsikázik } 
acélrugó = {  acél készül rugó acélrugó mozgat az órabér szerkezet } 
acélszalag = {  acél készül szalag tart a vasreszelék } 
acélszerkezet = {    erős tartó egalizál épületes vag nagyacsád berendez súly tartó fém } 
acélszürke = { acélszürke melléknév  ezüst a kicsi acélhengermű hasonló szín a rozsda acél színére hasonló éger acélszürke felleges jelez az es közeledik } 
acéltoll = {  toll mely hegy egalizál acél í a hallgat } 
acéltömb = {  } 
acélváz = {  acél készül váz erős acélváz tart az esőbéka tetejez } 
acélzöld = { acélzöld melléknév  sötétedik kékes a csiszol edz acél halvány színére hasonló kovácsol kard acélzöld lap mécs látszat a kalapács nyomakodik } 
acélöntvény = {  } 
ad = { ad ig  az okoz hogyan neki legyen egalizál személy kap birtokol használhatatlan elfogyaszt máshogy jutta továbbít rendelkezés bocsájt elérhető tesz használat átejt } 
ad-vesz = {  áru kereskedelem árucikk vásárolt é elad használt ruhás bolt nadrágol szoknyás adnectál } 
ad calefactor grabanc = {  a görögdinnye kalendárium sohanapján napjában mer a görögös nebich voltaképp kalendárium } 
ad calefactor gregori = {  a görögdinnye kalendárium sohanapján napjában mer a görögös nebich voltaképp kalendárium } 
ad grabanc calefactor = {  a görögdinnye kalendárium sohanapján napjában mer a görögös nebich voltaképp kalendárium } 
ad absurd = {  } 
ad absurdum = {  abszurd } 
ad abszurdum = {  abszurd } 
ad acta tesz = {  félretesz mellől } 
ad akt tesz = {  félretesz mellől } 
ad analogia = {  valamint mintáz képében } 
ad analógia = {  } 
ad animadversio = {  } 
ad animus ven = {  komoly ven lelkész ven valami } 
ad audiencia regie = {  királyasszony dorgál idébb } 
ad audiencia regie = {  királyasszony dorgál idébb } 
ad audiencia verbung = {  magában rendel vétkes egalizál feljebbver fedd számonként végette maga el idébb } 
